baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Amillepora00100-RA	72.8973758309126	0.010188752906524	0.22763106875631	0.0447599396786717	0.964298656574935	NA
Amillepora00104-RA	10.3234843421155	-0.0070818364297693	0.459923602052482	-0.0153978539004423	0.987714775563896	NA
Amillepora00105-RA	1.96144154601766	-1.24135222288428	1.04351992783893	-1.1895817125937	0.234210837064778	NA
Amillepora00108-RA	2.36730552840754	0.284419429137317	0.848434031898925	0.33522869008536	0.737452581328033	NA
Amillepora00109-RA	37.8584320171194	0.18039572532846	0.239957875819663	0.751780806161301	0.452182886453337	NA
Amillepora00110-RA	6.95055817658226	0.237141488144148	0.507333119941632	0.467427571398119	0.640194000304524	NA
Amillepora00111-RA	0.0577177628028117	1.09438125121898	4.18119954689839	0.26173858457217	0.793522991022313	NA
Amillepora00112-RA	0.0867987608836956	-0.600384431885846	4.17823585896147	-0.143693283996437	0.885742674755123	NA
Amillepora00113-RA	1.2181656387596	0.610010783145926	1.19299361122304	0.511327787011829	0.609121550944886	NA
Amillepora00114-RA	18.101498039543	0.0832989452334851	0.340707874231303	0.244487878131441	0.806852989021935	NA
Amillepora00115-RA	31.2094971131978	0.505560844215441	0.275403252594959	1.83571123235418	0.0664003758370195	NA
Amillepora00116-RA	16.1669535940408	-0.802283182405493	0.388967896261016	-2.06259485710132	0.0391511367906577	NA
Amillepora00118-RA	14.9077587200459	-0.405537900957301	0.400337452717593	-1.01299016168586	0.311064860228761	NA
Amillepora00119-RA	12.1408817684887	-0.0704219081715948	0.499520522719484	-0.140979008806695	0.887886525252246	NA
Amillepora00120-RA	97.2864408023552	0.204097686853669	0.185109995405785	1.10257518188718	0.270211692840197	NA
Amillepora00122-RA	211.616256378494	0.178010342209289	0.161941636919446	1.09922528631618	0.271669811850919	0.562960221224404
Amillepora00123-RA	24.3362542473219	0.571227258735183	0.289690983949269	1.97185031769997	0.0486266962755955	NA
Amillepora00124-RA	9.25590020753581	0.67205080997346	0.471403368826454	1.42563853891522	0.153972705843342	NA
Amillepora00126-RA	1.788030509361	0.246884177849944	1.03101096454792	0.239458343644482	0.81075019388486	NA
Amillepora00128-RA	342.385450520001	0.14705937087576	0.186468106700001	0.788656963801088	0.430312527624311	0.700991929131268
Amillepora00129-RA	395.963402172577	0.451719110310112	0.204045287603693	2.21381790099197	0.0268413081448138	0.195352350010059
Amillepora00131-RA	2.10082454348242	1.90657677877598	1.08274057878726	1.76088050649351	0.0782586299397245	NA
Amillepora00132-RA	2.45865335056687	2.15572953820214	0.866880961806263	2.48676534977812	0.0128910394417408	NA
