gene,pval
Amillepora00179-RA,-0.97360498241688
Amillepora00180-RA,-1.62899069639569
Amillepora00184-RA,0.134231362199566
Amillepora00187-RA,0.0440548814414373
Amillepora00190-RA,0.0335065719944129
Amillepora00192-RA,-0.032320041486704
Amillepora00193-RA,1.41317739063312
Amillepora00196-RA,0.0628431358912779
Amillepora00197-RA,-0.43002416409068
Amillepora00198-RA,-0.953040353974823
Amillepora00199-RA,-1.92422419746137
Amillepora00224-RA,1.93791901417284
Amillepora00225-RA,-0.0583308874785043
Amillepora00226-RA,1.16902729738928
Amillepora00227-RA,-1.57978820610996
Amillepora00229-RA,-0.0587161007175448
Amillepora00230-RA,0.725666579040843
Amillepora00231-RA,0.351727434073706
Amillepora00234-RA,0.381978766419885
Amillepora00235-RA,-1.32219040451532
Amillepora00236-RA,0.0440566250666555
Amillepora00237-RA,0.135172105366439
Amillepora00238-RA,0.197343285064487
Amillepora00240-RA,0.508646571467125
Amillepora00243-RA,-1.03659586444382
Amillepora00246-RA,0.0893062397749673
Amillepora00247-RA,-2.19139651446034
Amillepora00252-RA,-0.119787172921019
Amillepora00256-RA,0.139212386972142
Amillepora00258-RA,1.18671319308971
Amillepora00259-RA,0.0565354555534759
Amillepora00260-RA,-1.66746142318761
Amillepora00261-RA,0.586305826950093
Amillepora00262-RA,3.73932344523926
Amillepora00263-RA,5.9615949917994
Amillepora00264-RA,-0.300138935117264
Amillepora00265-RA,-1.43771557484469
Amillepora00266-RA,0.180042602286262
Amillepora00269-RA,-0.909628234652937
Amillepora00270-RA,0.816168391713463
Amillepora00271-RA,-0.0893471611803039
Amillepora00272-RA,2.36373628756437
Amillepora00273-RA,0.742495930663745
Amillepora00275-RA,0.168372593182138
Amillepora00277-RA,0.669669741039645
Amillepora00278-RA,0.243166003767898
Amillepora00282-RA,-0.237890728276203
Amillepora00283-RA,0.0736011327180668
Amillepora00284-RA,-0.602338106177858
Amillepora00285-RA,-0.528670396147821
Amillepora00286-RA,0.437026731574781
Amillepora00288-RA,0.393527545073217
Amillepora00290-RA,-0.121982245338678
Amillepora00291-RA,0.173076351562727
Amillepora00292-RA,0.195484069708801
Amillepora00294-RA,-0.309593512766595
Amillepora00296-RA,-0.022092214954906
Amillepora00297-RA,-0.889996434187329
Amillepora00299-RA,0.0440548814414371
Amillepora00300-RA,0.798311109942098
Amillepora00303-RA,0.0757144432514053
Amillepora00305-RA,-1.31599429411472
Amillepora00306-RA,-0.120314765490421
Amillepora00307-RA,-1.79258042603103
Amillepora00308-RA,-0.0205958702236272
Amillepora00311-RA,-0.977272877990315
Amillepora00313-RA,0.0440548814414372
Amillepora00314-RA,0.00474178742346063
Amillepora00315-RA,-0.0327897021288407
Amillepora00317-RA,0.271165171994715
Amillepora00318-RA,-0.631763938373289
Amillepora00319-RA,0.0440548814414372
Amillepora00320-RA,0.555766020766928
Amillepora00321-RA,-3.03840724024844
Amillepora00324-RA,-0.339655970447337
Amillepora00327-RA,-0.262501335672972
Amillepora00329-RA,0.0890299817375733
Amillepora00331-RA,0.754690991290833
Amillepora00332-RA,-1.23307098756165
Amillepora00334-RA,-0.240457039861653
Amillepora00337-RA,0.0673300697721035
Amillepora00338-RA,-0.0445119875737848
Amillepora00339-RA,0.419867653281349
Amillepora00340-RA,0.540494901610686
Amillepora00341-RA,-1.79278238601919
Amillepora00343-RA,-0.291205024690778
Amillepora00344-RA,0.220717633757273
Amillepora00346-RA,-0.130066375258372
Amillepora00348-RA,-0.170617380533173
Amillepora00350-RA,-0.411278550378189
Amillepora00351-RA,0.0440566250666555
Amillepora00355-RA,-0.294965983880725
Amillepora00362-RA,0.391231844277286
Amillepora00364-RA,0.15809839303347
Amillepora00366-RA,0.863581192809357
Amillepora00367-RA,-0.0624435114952649
Amillepora00368-RA,-2.0579256516821
Amillepora00369-RA,0.520101059689466
Amillepora00371-RA,-0.218972691763904
Amillepora00372-RA,-0.526677021467456
Amillepora00374-RA,0.130255823941421
Amillepora00375-RA,0.109822791237473
Amillepora00383-RA,1.00233448433919
Amillepora00385-RA,-0.0696129770762276
Amillepora00389-RA,0.184670324622346
Amillepora00393-RA,-0.130339911967351
Amillepora00394-RA,-0.0590245675716545
Amillepora00395-RA,-0.895407900981338
Amillepora00397-RA,-0.480667417492452
Amillepora00402-RA,-3.37218975261412
Amillepora00406-RA,-0.298303410834074
Amillepora00407-RA,0.0893062397749673
Amillepora00408-RA,-1.11832232601132
Amillepora00409-RA,0.797545617599828
Amillepora00410-RA,0.0440548814414371
Amillepora00411-RA,-0.0696111920676473
Amillepora00416-RA,0.234966996104303
Amillepora00418-RA,0.0797449513979966
Amillepora00419-RA,3.45237093978366
Amillepora00421-RA,0.105311612537999
Amillepora00422-RA,0.282234151788711
Amillepora00427-RA,0.080106137198873
Amillepora00428-RA,0.0108206814987417
Amillepora00431-RA,-0.596246131464497
Amillepora00433-RA,0.0527005382100624
Amillepora00435-RA,-0.75819756386045
Amillepora00436-RA,1.58817163508632
Amillepora00438-RA,-2.84681313494699
Amillepora00440-RA,-0.149162442645552
Amillepora00441-RA,-0.0109610243285986
Amillepora00443-RA,2.10800913290894
Amillepora00446-RA,1.15755942119483
Amillepora00447-RA,-0.273944152136747
Amillepora00452-RA,0.271294369201781
Amillepora00454-RA,-0.221298314187792
Amillepora00457-RA,-0.223643816432935
Amillepora00458-RA,0.0232066344744231
Amillepora00459-RA,1.09366961869802
Amillepora00460-RA,-0.0506380700881925
Amillepora00461-RA,0.073717538303801
Amillepora00463-RA,0.711164184340281
Amillepora00469-RA,-0.211111403981104
Amillepora00471-RA,0.0440566250666555
Amillepora00472-RA,-13.6005298221162
Amillepora00475-RA,-8.8855385316699
Amillepora00478-RA,0.23161194349211
Amillepora00480-RA,0.226333392973251
Amillepora00490-RA,-0.00537747514499993
Amillepora00491-RA,-1.5515440431891
Amillepora00492-RA,-0.644839611611769
Amillepora00496-RA,2.73181092999699
Amillepora00499-RA,0.694122541015487
Amillepora00501-RA,1.34166202039814
Amillepora00502-RA,-0.0694533678778947
Amillepora00507-RA,0.141864402332833
Amillepora00508-RA,-0.877512331683908
Amillepora00509-RA,0.0453195070118175
Amillepora00510-RA,1.79693005574482
Amillepora00511-RA,0.25995357990506
Amillepora00512-RA,1.36282072552085
Amillepora00514-RA,-1.40733569817586
Amillepora00515-RA,-0.268814980387496
Amillepora00516-RA,0.764136734060297
Amillepora00519-RA,-0.463636255251311
Amillepora00520-RA,-0.367428502651854
Amillepora00524-RA,0.788294238550224
Amillepora00526-RA,0.468909778185031
Amillepora00527-RA,-0.0251558962482321
Amillepora00528-RA,1.63452113998887
Amillepora00529-RA,0.0318032930167328
Amillepora00532-RA,-0.610169443887701
Amillepora00533-RA,0.811212662711233
Amillepora00535-RA,-0.582282851914441
Amillepora00537-RA,-1.02075903650934
Amillepora00540-RA,1.96789113214026
Amillepora00541-RA,0.766383185368308
Amillepora00542-RA,1.93197068054492
Amillepora00544-RA,0.0791794306337297
Amillepora00545-RA,-0.0251558962482322
Amillepora00546-RA,-0.0273585130290631
Amillepora00549-RA,0.56328920653829
Amillepora00551-RA,-1.45509344138732
Amillepora00553-RA,-0.229150150325426
Amillepora00554-RA,-0.0555518866460296
Amillepora00555-RA,-0.588945795863026
Amillepora00556-RA,-2.28156035795479
Amillepora00562-RA,0.111911383993466
Amillepora00564-RA,-0.0744123017721472
Amillepora00566-RA,-2.54263486848193
Amillepora00568-RA,-0.539464365118654
Amillepora00569-RA,0.426637259172922
Amillepora00570-RA,0.431756580032857
Amillepora00571-RA,0.404822189964629
Amillepora00572-RA,-0.227452462406432
Amillepora00576-RA,-0.540244133944798
Amillepora00579-RA,1.16663763749399
Amillepora00580-RA,-0.53073591017139
Amillepora00582-RA,0.255674440399709
Amillepora00609-RA,-0.0531784041666562
Amillepora00610-RA,0.98781768980333
Amillepora00611-RA,-0.683044622636628
Amillepora00613-RA,0.884129578565048
Amillepora00614-RA,1.52062503377119
Amillepora00615-RA,-0.494385555258651
Amillepora00617-RA,0.587238029975644
Amillepora00621-RA,-0.499906348615223
Amillepora00622-RA,0.0440945786556206
Amillepora00626-RA,0.123666614238901
Amillepora00633-RA,-3.29631223643424
Amillepora00637-RA,0.217422331993686
Amillepora00639-RA,0.17284468915298
Amillepora00641-RA,-0.0711222811504178
Amillepora00644-RA,-0.021064378448236
Amillepora00645-RA,-0.283265629866987
Amillepora00646-RA,-0.0316723075573704
Amillepora00647-RA,-0.0259863575360222
Amillepora00648-RA,-0.00436992311129233
Amillepora00649-RA,-0.472921924088886
Amillepora00650-RA,2.73566943877724
Amillepora00651-RA,-0.686017191558797
Amillepora00652-RA,0.0440548814414372
Amillepora00655-RA,-0.231960980208072
Amillepora00657-RA,0.0162442594172447
Amillepora00658-RA,1.52936920097201
Amillepora00659-RA,0.0662965533890835
Amillepora00660-RA,0.888267521143372
Amillepora00662-RA,0.320163232689035
Amillepora00663-RA,-0.969058785157498
Amillepora00664-RA,0.632808054513902
Amillepora00665-RA,-0.223108191842304
Amillepora00666-RA,-0.827699966161822
Amillepora00667-RA,0.699940632796042
Amillepora00668-RA,-0.300953671872987
Amillepora00669-RA,-0.348453098144851
Amillepora00670-RA,-1.14237740764678
Amillepora00671-RA,-1.20572878900165
Amillepora00672-RA,-0.218403629400944
Amillepora00673-RA,2.85552221991344
Amillepora00675-RA,0.44623759626017
Amillepora00676-RA,1.71420432588305
Amillepora00678-RA,-0.0720502481456595
Amillepora00680-RA,0.402297133136359
Amillepora00681-RA,0.366362438776616
Amillepora00683-RA,-1.21252408004309
Amillepora00684-RA,-0.231460849208406
Amillepora00688-RA,0.0440548814414372
Amillepora00691-RA,-0.0499591892041758
Amillepora00694-RA,0.0893062397749673
Amillepora00698-RA,0.520110379913354
Amillepora00699-RA,0.311844148097808
Amillepora00704-RA,-0.831362650459325
Amillepora00710-RA,-0.499627001210978
Amillepora00711-RA,-0.745176180372096
Amillepora00712-RA,-0.422820602701767
Amillepora00713-RA,-2.90182264164976
Amillepora00714-RA,-0.280449784568113
Amillepora00715-RA,-0.262115228246267
Amillepora00716-RA,-0.770747125016493
Amillepora00721-RA,0.0225259753317079
Amillepora00722-RA,0.332801432597754
Amillepora00723-RA,0.586004649041494
Amillepora00724-RA,-0.200811766943513
Amillepora00725-RA,0.625960326817481
Amillepora00727-RA,-0.437310254441314
Amillepora00728-RA,1.04323377902295
Amillepora00729-RA,-1.69477823889293
Amillepora00731-RA,-1.20772363822321
Amillepora00732-RA,0.233064500379888
Amillepora00733-RA,1.79810879090328
Amillepora00734-RA,-0.169168868702232
Amillepora00735-RA,-0.234858465647972
Amillepora00736-RA,-1.38107295163259
Amillepora00740-RA,0.586392525535631
Amillepora00743-RA,0.529008045497783
Amillepora00747-RA,0.270585966333405
Amillepora00748-RA,-1.19675614546523
Amillepora00749-RA,1.02446422146301
Amillepora00750-RA,-0.439344829551256
Amillepora00751-RA,-0.850091035061741
Amillepora00752-RA,0.222391306388466
Amillepora00753-RA,2.73566639384558
Amillepora00754-RA,-0.175052429097122
Amillepora00755-RA,7.43907985966091
Amillepora00757-RA,-0.797377884166132
Amillepora00758-RA,1.24507510202215
Amillepora00759-RA,4.4945970832829
Amillepora00760-RA,-0.0842651773127458
Amillepora00761-RA,-2.42371802953763
Amillepora00762-RA,0.259835890567055
Amillepora00763-RA,0.319416667221838
Amillepora00765-RA,-2.3229826529398
Amillepora00766-RA,1.95126643321773
Amillepora00767-RA,-3.28779955077352
Amillepora00768-RA,-3.73974218617814
Amillepora00769-RA,1.13135005118775
Amillepora00770-RA,-0.106134347411324
Amillepora00773-RA,0.00170161290083921
Amillepora00774-RA,1.00481220303307
Amillepora00775-RA,0.137426337721128
Amillepora00777-RA,0.682235851064729
Amillepora00780-RA,-0.0347354876646753
Amillepora00782-RA,0.186380039459812
Amillepora00784-RA,0.0349886756519909
Amillepora00786-RA,-0.320927138662374
Amillepora00788-RA,1.42420117184619
Amillepora00789-RA,0.0893062397749673
Amillepora00790-RA,-2.24850294119591
Amillepora00791-RA,-0.982837091761419
Amillepora00793-RA,-0.344592469628875
Amillepora00794-RA,-0.450225152097971
Amillepora00798-RA,-0.0251558962482321
Amillepora00801-RA,-0.370928557016377
Amillepora00803-RA,-0.157163642289869
Amillepora00805-RA,-0.0676398811336983
Amillepora00816-RA,-0.112605736695695
Amillepora00825-RA,0.0250825203680674
Amillepora00827-RA,-0.225095626975851
Amillepora00828-RA,0.156463168576093
Amillepora00829-RA,0.0020863334711054
Amillepora00831-RA,1.23851903851592
Amillepora00833-RA,0.287295715031093
Amillepora00834-RA,-0.0943069012011042
Amillepora00836-RA,0.402023795514019
Amillepora00837-RA,-1.07316456189875
Amillepora00838-RA,0.242404492568897
Amillepora00839-RA,-0.587082524229117
Amillepora00840-RA,-0.760343151029017
Amillepora00841-RA,0.550644563894409
Amillepora00844-RA,0.639646622123165
Amillepora00845-RA,-0.672390981643098
Amillepora00846-RA,-0.034181447288583
Amillepora00849-RA,0.733188484184416
Amillepora00852-RA,0.185450102433283
Amillepora00853-RA,0.0222107548288561
Amillepora00856-RA,0.185450102433283
Amillepora00857-RA,-0.620302199530627
Amillepora00858-RA,-0.0692653941896876
Amillepora00859-RA,1.98707143596532
Amillepora00861-RA,-1.1034135640481
Amillepora00862-RA,0.536045048146723
Amillepora00863-RA,0.0570095193271849
Amillepora00864-RA,-0.287399920155243
Amillepora00867-RA,0.179347092422379
Amillepora00911-RA,-2.34681948703066
Amillepora00912-RA,1.13963485608806
Amillepora00914-RA,0.274882452772633
Amillepora00915-RA,-0.188052409736247
Amillepora00916-RA,0.159157869769538
Amillepora00917-RA,-0.570265231620908
Amillepora00919-RA,0.819642249106649
Amillepora00921-RA,0.326025807351402
Amillepora00922-RA,-0.0256089081800081
Amillepora00923-RA,0.354298329436274
Amillepora00924-RA,-0.128774647387699
Amillepora00925-RA,-0.240474625018388
Amillepora00926-RA,1.07500980251451
Amillepora00929-RA,-0.307975698581181
Amillepora00930-RA,-0.174573487370888
Amillepora00931-RA,0.0440548814414372
Amillepora00932-RA,-1.50218669282741
Amillepora00934-RA,0.188352490965377
Amillepora00935-RA,-1.44274066529332
Amillepora00936-RA,-0.180972753756331
Amillepora00937-RA,-0.700825131260182
Amillepora00938-RA,-2.07872537325883
Amillepora00939-RA,0.487721276345726
Amillepora00940-RA,-0.224658127299872
Amillepora00941-RA,0.0762362368923978
Amillepora00943-RA,0.733782787336315
Amillepora00944-RA,-0.371075836128759
Amillepora00946-RA,-0.381141056009745
Amillepora00947-RA,0.195484069708801
Amillepora00948-RA,2.48243040890058
Amillepora00950-RA,-0.612418491076885
Amillepora00951-RA,-0.608627803860884
Amillepora00952-RA,-0.0731920817222615
Amillepora00953-RA,-1.03125607665218
Amillepora00954-RA,-0.14298597589878
Amillepora00955-RA,0.711867680721114
Amillepora00956-RA,-0.228210784603922
Amillepora00957-RA,-0.986334299151272
Amillepora00958-RA,0.0832280796274915
Amillepora00964-RA,-0.047538804212324
Amillepora00965-RA,-0.215533465672117
Amillepora00966-RA,2.0425593426354
Amillepora00967-RA,-0.0755451830946696
Amillepora00969-RA,0.236524716787065
Amillepora00970-RA,-0.0181355222157241
Amillepora00972-RA,-0.18009479307441
Amillepora00973-RA,2.01837972655628
Amillepora00974-RA,-0.865548566021041
Amillepora00975-RA,0.0463646443328634
Amillepora00976-RA,0.538553829007616
Amillepora00977-RA,0.0581939526783958
Amillepora00979-RA,0.453245237235375
Amillepora00980-RA,0.776916586757423
Amillepora00981-RA,1.57170187159953
Amillepora00983-RA,-0.439847645626066
Amillepora00984-RA,0.14274966567486
Amillepora00985-RA,0.835079319956186
Amillepora00987-RA,-1.245331407386
Amillepora00988-RA,0.937797511902874
Amillepora00989-RA,-1.12289789440995
Amillepora00990-RA,-6.52764918909209
Amillepora00991-RA,-0.112008199273191
Amillepora00993-RA,-0.595445486064527
Amillepora00994-RA,0.0197464732926718
Amillepora00996-RA,1.0912846538897
Amillepora00998-RA,1.02803054985267
Amillepora01000-RA,3.12774267514094
Amillepora01001-RA,0.627135120837322
Amillepora01002-RA,-0.105365658095098
Amillepora01003-RA,2.86262972008966
Amillepora01006-RA,1.5468568700725
Amillepora01007-RA,-0.394962705277296
Amillepora01009-RA,0.559723376850285
Amillepora01010-RA,1.35005441963217
Amillepora01011-RA,0.582004702565944
Amillepora01012-RA,0.549302746339397
Amillepora01013-RA,-0.370731072267301
Amillepora01014-RA,-1.70337802836239
Amillepora01015-RA,-0.150103932421242
Amillepora01016-RA,-0.104839495519341
Amillepora01017-RA,1.28628702434266
Amillepora01018-RA,-0.172631047469516
Amillepora01019-RA,-0.477571865383637
Amillepora01020-RA,0.0605985399838436
Amillepora01021-RA,-1.56385379683185
Amillepora01022-RA,0.311890737470936
Amillepora01024-RA,0.711659062947191
Amillepora01026-RA,0.54329752235362
Amillepora01027-RA,0.0440566250666555
Amillepora01030-RA,1.09971969055519
Amillepora01031-RA,0.473933081249516
Amillepora01032-RA,-0.0475686482681549
Amillepora01037-RA,-1.27649607958886
Amillepora01038-RA,-0.900599799872722
Amillepora01039-RA,-0.436629407586166
Amillepora01040-RA,-2.7398007703952
Amillepora01041-RA,-0.67797160053016
Amillepora01043-RA,0.121503024691121
Amillepora01044-RA,0.129032877522516
Amillepora01047-RA,-1.60751264555498
Amillepora01048-RA,-2.36781878636431
Amillepora01049-RA,1.32313077684455
Amillepora01050-RA,0.0793140291550256
Amillepora01054-RA,1.02977398295674
Amillepora01057-RA,0.741188459542764
Amillepora01059-RA,0.279552307265745
Amillepora01061-RA,0.133489027635811
